moduleCode,title,semesters
BMI5106,Clinical Decision Support Systems,[2]
BMI5107,Advanced Evidence Based Patient Care,[2]
BMI5108,Advanced Value Based Healthcare,[2]
BMI5109,Advanced Scientific Research Methods,[2]
BMI5110,Molecular Informatics,[2]
BMI5111,Capstone Project,[2]
BMI5201,Advanced Clinical Data Systems,[2]
BMI5206,Advanced Human Factors Engineering,[2]
BMI5207,Medical Data and Data Processing,[1]
BMI5306,Advanced Agile Project Management,[1]
BMK5100,Marketing Analytics,[1]
BMK5101,Digital Marketing,[1]
BMK5102,Big Data in Marketing,[1]
BMK5103,Consumer Insights,[2]
BMK5104,Marketing Analytics Visualisation and Communications,[2]
BMK5200,Pricing Analytics,[2]
BMK5201,Customer Relationship Management,[2]
BMK5202,Python Programming for Business Analytics,"[1, 2]"
BMK5203,Research for Marketing Insights,[1]
BMK5204,Marketing Strategy,[1]
BMK5206A,Personal Selling & Sales Management,[2]
BMK5206C,Consumer Economics: Biases and Nudges,[1]
BMK5207,AI in Marketing,[2]
BMK5300A,Experiential Learning: Industry Internship,[1]
BMK5300D,Marketing Venture Challenge,[1]
BMO6018A,Behavorial Ethics,[1]
BMO6023A,Seminar in Occupational Health and Stress,[2]
BMO6024,Seminar in Human Resource Management,[1]
BMO6026A,Groups and Teams,[2]
BMS5105,Big Data and Business Strategy,[1]
BMS5107,Ethical Leadership and Corporate Strategy,[2]
BMS5110,Managerial Economics,[1]
BMS5112,Global Strategic Management,[1]
BMS5113,Venture Capital,[2]
BMS5114,Asian Business Environment,[2]
BMS5117,Game Theory For Managers,[1]
BMS5118,Competing Globally,[1]
BMS5119,Asian Family Business,[1]
BMS5120,Innovation and Strategies for Emerging Markets,[2]
BMS5121,Digital Transformation,[2]
BMS5121S,Digital Transformation,[1]
BMS5122,Legal Fundamentals for Entrepreneurs and Managers,[2]
BMS5123S,Entrepreneurship Business Development,[2]
BMS5124,Entrepreneurial Management,[2]
BMS5203,The Knowledge & Innovation Economy 4.0,[2]
BMS5205,Business Analytics,[1]
BMS5208,Sustainable Supply Chains,[1]
BMS5209,Supply Chain Models and Strategies,[1]
BMS5303,Valuation and Mergers & Acquisitions,[2]
BMS5307,Financial Markets and Institutions,[1]
BMS5310,Financial Management of Family Business,[1]
BMS5312,Fintech Management,[2]
BMS5313,Measuring Success in Philanthropy and Impact Investing,[2]
BMS5405S,New Venture Creation,[1]
BMS5408,Special Topics in Organizational Behavior,[1]
BMS5410,Negotiation and Conflict Management,[1]
BMS5411,Judgment and Decision Making Under Uncertainty,[2]
BMS5412,Global Leadership,[2]
BMS5414,Human Resources Analytics,[1]
BMS5502,Marketing Strategy,[2]
BMS5504,Marketing Analysis and Decision Making,[2]
BMS5505,Digital Marketing,[1]
BMS5506,Understanding & Influencing Consumers,[2]
BMS5512,Marketing Analytics,[2]
BMS5513,Product & Brand Management,[1]
BMS5515,Personal Selling and Sales Management,[1]
BMS5516,Customer Centricity and Brand Alignment,[2]
BMS5520,Research for Marketing Insights,[1]
BMS5602,Business Analysis and Valuation,[2]
BMS5802,Real Estate Finance,[1]
BMS5900A,Sustainability Thinking in Product and Service Design,[1]
BMS5901,Business Project,[2]
BMS5902,Entrepreneurship Practicum,"[1, 2]"
BMT5100,Preparing Financial Statements,[1]
BMT5101,Applied Data Science & Vizualization,[1]
BMT5102,Corporate Valuation Models,[1]
BMT5103,Managerial Planning and Control,[1]
BMT5104,Corporate Accounting and Reporting,[2]
BMT5200,Analytics and Data Management,[2]
BMT5201,Financial Statement Analysis,[2]
BMT5202,Bank Compliance and Risk Management,[2]
BMU5003,Economic Analysis For Managers,[2]
BMU5007,Corporate Finance,[2]
BMU5008,"Corporate Governance, Business Law & Ethics","[1, 2]"
BMU5014,Contemporary Issues in Business,[2]
BMU5015,Competitive Strategy & Business Policy,"[1, 2]"
BMU5017,Management Practicum,"[1, 2]"
BMU5018,Entrepreneurship and New Venture Creation,[1]
BN1111,Biomedical Engineering Principles and Practice I,[1]
BN2001,Independent Study,"[1, 2]"
BN2102,Bioengineering Data Analysis,[2]
BN2111,Biomedical Engineering Principles and Practice II,[2]
BN2204,Fundamentals of Biomechanics,[2]
BN2301,Biochemistry and Biomaterials for Bioengineers,[1]
BN2403,Fundamentals of Biosignals and Bioinstrumentation,[1]
BN3101,Biomedical Engineering Design,"[1, 2]"
BN3202,Musculoskeletal Biomechanics,[1]
BN3301,Introduction To Biomaterials,[2]
BN3402,Bio-Analytics for Engineers,[2]
BN4101,B.Eng. Dissertation,"[1, 2]"
BN4102,Gerontechnology in Ageing,[2]
BN4103,Assistive Technology for Persons with Disability,[1]
BN4109,Special Topic In Bioengineering,[2]
BN4202,Biofluids Dynamics,[2]
BN4203,Robotics in Rehabilitation,[2]
BN4301,Principles Of Tissue Engineering,[1]
BN4302,Organs in a Dish: Organoid Bioengineering,[1]
BN4403,Cellular Bioengineering,[1]
BN4404,Bioelectromechanical Systems - Biomems,[2]
BN4406,Biophotonics And Bioimaging,[2]
BN4501,Engineering Biology,[1]
BN4701,Serious Games for Health,[1]
BN5001,Independent Research Project,[1]
BN5101,Biomedical Engineering Systems,[1]
BN5102,Clinical Instrumentation,[2]
BN5104,Quantitative Physiology Principles in Bioengineering,[1]
BN5201,Advanced Biomaterials,[2]
BN5203,Advanced Tissue Engineering,[2]
BN5207,Medical Imaging Systems,[2]
BN5208,Biomedical Quality and Regulatory Systems,[1]
BN5209,Neurosensors and Signal Processing,[2]
BN5210,Biosensors and Biochips,[1]
BN5302,Organs in a Dish: Organoid Bioengineering,[1]
BN5303,Tissue Engineering for Designing Food,[2]
BN5513,Medical Device Regulation in ASEAN and AsiaPacific,[2]
BN5515,Clinical Design and Evaluation of Medical Devices,[1]
BN5516,"Medical Device Design, Development and Testing",[1]
BN5666,Industrial Attachment,"[1, 2]"
BN5999,Graduate Seminars,"[1, 2]"
BN6202,Advanced Human Motion Biomechanics,[2]
BN6401,Advanced Quantitative Fluorescence Microscopy,[2]
BN6999,Doctoral Seminars,"[1, 2]"
BPM1701,Calculus and Statistics,[1]
BPM1702,Microsoft Excel and PowerPoint for Business,[1]
BPM1705,Understanding How Business Works,[1]
BRP6553,Graduate Research Seminars,[1]
BSE3701,Macroeconomic Principles in the Global Economy,"[1, 2]"
BSE3702,Economics of Strategy,"[1, 2]"
BSE3703,Econometrics for Business I,"[1, 2]"
BSE3711,Strategic Thinking: Economic Applications,[2]
BSE3751,Independent Study in Business Economics,[1]
BSE3761,Topics in Business Economics,[1]
BSE4711,Econometrics for Business II,"[1, 2]"
BSE4751,Advanced Independent Study in Business Economics,[1]
BSN3701,Technological Innovation,"[1, 2]"
BSN3702,New Venture Creation,"[1, 2]"
BSN3703,Entrepreneurial Strategy,"[1, 2]"
BSN3714,Co-Creating Value (Tools for Collaborative Innovation),"[1, 2]"
BSN3717,Family Business,[1]
BSN3751,Independent Study in Innovation & Entrepreneurship,[1]
BSN4751,Adv Independent Study in Innovation & Entrepreneurship,[1]
BSN4811,Innovation and Productivity,"[1, 2]"
BSN4811A,Innovation and Productivity (with Econometrics),"[1, 2]"
BSP1702,Legal Environment of Business,"[1, 2]"
BSP1702X,Legal Environment of Business,"[1, 2]"
BSP1703,Managerial Economics,"[1, 2]"
BSP1707,Managerial Economics: Exposure,[2]
